MAX_ATR_I_12M,NMES_ATR15_I_U6K_24M,RTOT_DACT_DTOT_24M,VAR_PROM_ENT_ACTU_24M,NMES_UATR3_I_24M,VAR_PROM_DEUDIR_ACTU_12M,INC_SUM_ACTSH_ACTU_24M,MAX_ENT_12M,N_NOR_24M,NMES_UATR15_I_U6K_24M,FLG_CLI_DEF60
2,0,0.98623037,0.0,0,-0.549848986,8.073188504,1,20,0,0
9,0,0.706834633,0.0,6,0.941414896,46.71835162,1,19,0,0
0,0,0.248426969,0.0,0,0.576363311,11.61090649,1,8,0,0
2,0,0.848076659,0.010416667,0,-0.164709064,20.12771055,5,24,0,0
9,0,1.0,0.055555556,1,0.36013331,33.34373853,3,24,0,0
6,0,0.43556334,0.458333333,5,-0.400450301,16.39134623,1,24,0,0
4,0,0.882853222,0.041666667,0,-0.41736419,8.348127771,4,24,0,0
0,0,0.541238302,0.0,14,-0.217380038,23.08567537,1,20,0,0
2,0,0.625241896,-0.369565217,23,0.353809323,23.375479,2,23,0,0
4,0,0.771233838,0.0,2,0.490746153,25.65956488,1,24,0,0
2,0,0.573049042,0.0,0,0.866725763,44.61012057,1,24,0,0
1,0,0.661115031,0.1875,0,0.767372707,55.71611505,3,24,0,0
8,0,0.983350322,0.020833333,0,-0.179411841,17.98115924,5,24,0,0
7,0,0.607666299,-0.152777778,1,-0.456092,14.94867993,3,24,0,0
12,0,1.0,0.0,0,0.027068714,7.216549712,1,8,0,0
0,0,0.77896531,-0.3125,0,-0.145631656,10.93935194,2,24,0,0
4,0,0.469207636,0.791666667,7,1.61911655,107.8100169,2,24,0,0
2,0,0.998011036,0.416666667,15,0.258028744,28.21820162,4,22,0,0
1,0,0.495940112,0.105263158,0,0.407870931,27.55255126,1,19,0,0
1,0,0.577243964,0.260869565,0,2.47903421,88.4916405,1,23,0,0
10,0,0.980953587,-0.052083333,0,0.143839669,26.92666794,5,17,0,0
1,0,0.89875445,0.0,0,0.951005306,52.32066925,1,24,0,0
4,0,0.961175022,-0.020833333,1,0.871064767,56.10769747,2,24,0,0
11,0,0.926745766,-0.09375,1,-0.157831061,14.25564121,4,24,0,0
0,0,1.0,0.0,0,0.280572781,5.402863905,1,5,0,0
0,0,0.750420627,2.0,0,8.302489365,101.413605,4,10,0,0
1,0,0.967814379,0.0,0,0.001332649,20.63516661,1,24,0,0
32,1,0.985825158,-0.402777778,4,0.643226389,38.03487789,3,23,5,0
5,0,0.316798895,0.0,4,-0.524843168,8.260933372,1,24,0,0
5,0,1.0,0.0,0,-0.054400751,17.27821083,1,24,0,0
3,0,0.873993348,0.666666667,5,4.957252916,212.3381564,2,24,0,0
5,0,0.939128502,-0.241666667,0,0.037564567,21.55554134,5,21,0,0
0,0,1.0,0.0,0,0.172565431,15.77948618,1,21,0,0
3,0,0.287916613,0.0,6,0.694487092,233.3412449,1,24,0,0
5,0,0.857722334,-0.569444444,5,-0.212046587,11.93023154,3,24,0,0
1,0,0.821018779,0.041666667,15,-0.274632105,11.73014894,1,24,0,0
10,0,0.653773643,-0.152173913,1,-0.368107086,11.81037086,2,23,0,0
8,0,0.794051925,0.555555556,4,0.158315672,30.30591515,5,22,0,0
7,0,0.923030794,0.0,1,0.09467691,13.60594218,1,20,0,0
2,0,0.386936549,-0.433333333,21,0.28137141,12.271791,3,20,0,0
8,0,0.985029384,0.0,4,0.251053287,25.73311962,2,13,0,0
1,0,0.563787526,0.0,0,3.68243603,305.3850272,1,24,0,0
5,0,0.856887277,-0.041666667,0,-0.165029398,18.1086347,3,23,0,0
0,0,0.391383508,0.0,0,-0.233662082,8.196055012,1,12,0,0
9,0,0.781272184,-0.138888889,0,-0.320643236,13.45864876,3,24,0,0
4,0,0.860086746,0.0,7,-0.279914939,11.48307366,1,24,0,0
1,0,0.518654821,0.0,15,-0.378710079,15.68215112,1,24,0,0
0,0,0.822459591,-0.319444444,0,-0.149159276,22.58830502,3,23,0,0
2,0,1.0,-0.15,0,-0.016414952,8.835850476,2,10,0,0
4,0,0.200415435,0.0,1,-0.375923502,25.50049414,1,20,0,0
3,0,0.516426282,-0.479166667,9,-0.489610229,9.780118464,2,24,0,0
0,0,0.867264616,-0.302083333,0,0.101336471,20.73760268,4,24,0,0
11,0,1.0,-0.020833333,0,0.020948507,20.05656535,2,19,0,0
0,0,1.0,0.0,0,0.265800399,12.92380439,1,11,0,0
5,0,0.990721718,-0.4375,5,-0.110176415,20.30737603,2,24,0,0
10,0,0.562773629,0.0,0,0.245571894,38.72157287,1,23,0,0
3,0,0.600071189,0.0,6,0.219961552,30.66296395,2,24,0,0
43,5,0.991480684,-0.166666667,0,0.776536032,62.13836028,2,21,0,0
18,1,1.0,-0.020833333,1,0.132831258,28.13152318,2,24,5,0
0,0,1.0,-0.142857143,0,-0.4007698,6.27887868,2,14,0,0
5,0,0.930510367,0.791666667,1,0.12388702,27.83640206,2,23,0,0
2,0,0.666695727,0.541666667,0,-0.427203623,11.50778808,2,24,0,0
1,0,0.856202728,0.0,0,0.346651995,16.87338796,1,13,0,0
1,0,0.44468453,0.104166667,15,-0.3400855,14.9786434,2,24,0,0
1,0,0.805016371,0.583333333,15,-0.079519347,31.27301257,4,24,0,0
3,0,0.452415737,0.0,7,1.299383729,23.65621401,1,13,0,0
1,0,1.0,0.291666667,18,0.135597576,25.24567317,3,24,0,0
0,0,1.0,0.0,0,0.019534036,29.732451,1,24,0,0
1,0,0.616576515,0.0625,23,0.271044638,88.17480917,3,24,0,0
1,0,1.0,-0.3125,0,0.691749475,30.3903179,2,24,0,0
11,0,1.0,-0.020833333,0,0.291409936,13.82808711,2,24,0,0
0,0,1.0,-0.438596491,0,-0.005201871,11.70226062,3,19,0,0
2,0,0.566162752,0.0,13,-0.351181798,12.80944449,1,24,0,0
0,0,0.581447299,0.0,0,-0.454566015,7.154187411,1,20,0,0
3,0,0.95673895,-0.444444444,3,-0.18416786,13.60820425,2,18,0,0
1,0,0.874123386,0.458333333,0,1.105990407,59.42296969,1,24,0,0
0,0,0.565647345,0.0,0,-0.447638017,13.79616282,1,23,0,0
0,0,0.28882265,0.047619048,0,-0.160129784,11.60190705,2,16,0,0
3,0,1.0,0.5,7,1.937503649,124.5382598,2,24,0,0
1,0,0.399548896,-0.083333333,0,0.342671559,21.90382234,2,24,0,0
0,0,0.624305426,-0.083333333,0,0.11362083,31.24410802,3,24,0,0
3,0,1.0,-0.333333333,0,-0.054571522,17.17289947,2,24,0,0
13,0,1.0,0.0,1,2.022658168,35.27189802,1,12,0,0
3,0,0.604767194,0.666666667,4,1.028825502,50.59670962,2,22,0,0
0,0,0.914748138,0.0,0,-0.38886886,3.889049122,1,8,0,0
0,0,1.0,0.0,0,0.32108539,38.30297773,1,24,0,0
21,2,0.748391174,0.0,0,-0.180980884,14.42694267,1,23,0,0
7,0,0.93007232,-0.333333333,2,-0.044554988,14.04610916,3,23,0,0
2,0,0.921086428,0.0,13,-0.338703948,9.186746817,1,24,0,0
2,0,0.510930759,0.611111111,0,-0.483111336,4.005267047,2,18,0,0
1,0,1.0,0.0,0,0.131220976,18.32486746,1,16,0,0
1,0,1.0,0.041666667,0,0.17399706,17.30205561,2,24,0,0
0,0,1.0,0.0,0,0.043186833,3333333333.0,1,22,0,0
5,0,0.995227806,-0.4,0,-0.332202762,8.1261448,2,20,0,0
9,0,0.978514739,0.0,6,0.246370122,34.64699983,1,24,0,0
1,0,0.636301763,0.791666667,15,1.429136339,51.06628098,3,24,0,0
0,0,1.0,-0.321428571,0,-0.16220205,10.10090316,2,14,0,0
4,0,1.0,0.0,2,-0.062248885,14.0879599,1,24,0,0
3,0,0.916990746,-0.263888889,9,0.57136287,38.23107608,3,24,0,0
8,0,0.97343534,0.416666667,0,0.065901655,33.77911855,4,24,0,0
14,0,0.65057168,-0.020833333,0,0.780102788,59.85786369,3,22,0,0
2,0,1.0,0.0,0,-0.689823959,3.255627549,1,14,0,0
5,0,0.953853996,0.25,6,1.054092471,57.7109715,3,24,0,0
0,0,0.307095329,0.0,0,0.892639994,23.15967559,1,16,0,0
0,0,1.0,0.0,16,-0.273221288,14.66043679,1,24,0,0
1,0,0.556301502,0.0,18,0.575119399,34.03461012,1,22,0,0
15,0,0.732858874,-0.569444444,6,-0.323007594,9.072863056,3,24,0,0
5,0,1.0,0.0,3,4.644967376,93.26645813,1,19,0,0
5,0,0.419066098,-0.15,4,0.685110979,29.26869319,2,20,0,0
